sec_code,sec_name,now_price,pct_change,vol,amount,turnover_pct,latest_mv,ma60,ma250
600519,贵州茅台,1281.91,-1.94,52476,6743202816,0.42,1602492039168,1392.37,1416.02
000858,五粮液,82.35,-0.44,211543,1737250560,0.55,319642632192,96.72,110.80
600809,山西汾酒,123.50,-1.75,89392,1102185728,0.73,150665576448,141.53,173.23
000568,泸州老窖,87.55,-1.07,119047,1036929408,0.81,128808509440,99.75,116.64
002304,洋河股份,44.02,-1.50,59039,259529104,0.39,66312146944,48.83,61.51
000596,古井贡酒,90.49,-2.75,46295,417074816,1.13,36974215168,104.10,135.44
603369,今世缘,29.49,1.03,159378,457573312,1.28,36768133120,27.72,35.72
603198,迎驾贡酒,35.87,-2.39,75495,269662752,0.94,28695998464,35.81,39.65
600779,水井坊,32.67,0.86,126795,405617440,2.60,15926728704,33.20,39.46
000799,酒鬼酒,46.29,1.29,272948,1227694080,8.40,15039538176,43.61,52.26
600702,舍得酒业,42.31,-0.68,112800,469132096,3.39,14073106432,44.91,54.20
603589,口子窖,21.13,-1.54,84340,177817632,1.41,12638264320,24.16,30.35
600559,老白干酒,12.67,-1.86,132048,167123664,1.45,11523485696,13.67,15.95
603919,金徽酒,21.70,3.04,188784,399697184,3.72,11007542272,18.80,19.57
000860,顺鑫农业,11.05,-1.52,99803,110224736,1.35,8196526080,12.69,14.79
600197,伊力特,11.87,-3.96,124692,148686352,2.64,5616583680,12.29,14.06
600199,金种子酒,7.97,-2.57,229809,182376736,3.49,5242640384,8.25,9.81
002646,天佑德酒,7.47,-2.23,76687,57281108,1.61,3554543360,8.03,9.13
