industry_code,industry_name,latest_date,convergence_ok,breakout_ok,leader_ok,score,close,ma250,amount,amount_ma20,ret_120d,ret_rank_pct,leader_name,leader_limit_date,leader_follow_date
801010.SI,农林牧渔,20260630,False,False,False,0,2466.56,,1604327.0,,,,,,
801030.SI,基础化工,20260630,False,False,False,0,4600.33,,11812359.0,,,,,,
801040.SI,钢铁,20260630,False,False,False,0,2371.1,,933590.0,,,,,,
801050.SI,有色金属,20260630,False,False,False,0,8960.17,,16519041.0,,,,,,
801080.SI,电子,20260630,False,False,False,0,9400.14,,81139991.0,,,,,,
801880.SI,汽车,20260630,False,False,False,0,7425.3,,8361968.0,,,,,,
801110.SI,家用电器,20260630,False,False,False,0,8930.66,,2485968.0,,,,,,
801120.SI,食品饮料,20260630,False,False,False,0,14565.79,,3386170.0,,,,,,
801130.SI,纺织服饰,20260630,False,False,False,0,1602.66,,1161758.0,,,,,,
801140.SI,轻工制造,20260630,False,False,False,0,2322.2,,2140721.0,,,,,,
801150.SI,医药生物,20260630,False,False,False,0,7362.29,,8396198.0,,,,,,
801160.SI,公用事业,20260630,False,False,False,0,2873.21,,11894853.0,,,,,,
801170.SI,交通运输,20260630,False,False,False,0,2144.53,,2616858.0,,,,,,
801180.SI,房地产,20260630,False,False,False,0,2043.31,,2125967.0,,,,,,
801200.SI,商贸零售,20260630,False,False,False,0,1961.81,,2271630.0,,,,,,
801210.SI,社会服务,20260630,False,False,False,0,7866.73,,1024645.0,,,,,,
801780.SI,银行,20260630,False,False,False,0,3981.87,,3004201.0,,,,,,
801790.SI,非银金融,20260630,False,False,False,0,1714.52,,4677076.0,,,,,,
801230.SI,综合,20260630,False,False,False,0,4613.73,,487550.0,,,,,,
801710.SI,建筑材料,20260630,False,False,False,0,6603.06,,4043173.0,,,,,,
801720.SI,建筑装饰,20260630,False,False,False,0,2121.95,,3919967.0,,,,,,
801730.SI,电力设备,20260630,False,False,False,0,11422.9,,25998721.0,,,,,,
801890.SI,机械设备,20260630,False,False,False,0,2475.08,,20691626.0,,,,,,
801740.SI,国防军工,20260630,False,False,False,0,1821.99,,6972329.0,,,,,,
801750.SI,计算机,20260630,False,False,False,0,4826.25,,13860695.0,,,,,,
801760.SI,传媒,20260630,False,False,False,0,740.28,,5678325.0,,,,,,
801770.SI,通信,20260630,False,False,False,0,8771.31,,24420283.0,,,,,,
801950.SI,煤炭,20260630,False,False,False,0,3438.53,,3224624.0,,,,,,
801960.SI,石油石化,20260630,False,False,False,0,2678.35,,1594730.0,,,,,,
801970.SI,环保,20260630,False,False,False,0,2103.96,,2087550.0,,,,,,
801980.SI,美容护理,20260630,False,False,False,0,3684.24,,348169.0,,,,,,
