l1_name,industry_code,industry_name,latest_date,total_mv_yi,prefilter_label,final_label,summary_line,leader_top1_name,leader_top1_pct_change,leader_top1_above_ma60,leader_top1_above_ma250
传媒,801995.SI,电视广播Ⅱ,20260602,1542.9155,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,东方明珠,-2.9805,False,False
传媒,801769.SI,出版,20260602,2655.8057,启动识别对象,观察中,观察中，已有局部转强线索，但条件不完整。,凤凰传媒,-1.741,False,False
传媒,801766.SI,影视院线,20260602,2015.4993,启动识别对象,观察中,观察中，已有局部转强线索，但条件不完整。,光线传媒,-3.7984,False,False
传媒,801767.SI,数字媒体,20260602,1359.811,启动识别对象,观察中,观察中（偏弱），已有局部转强线索，但条件不完整。,芒果超媒,-2.6816,False,False
传媒,801764.SI,游戏Ⅱ,20260602,4921.291,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,世纪华通,-1.5122,False,False
传媒,801765.SI,广告营销,20260602,3122.433,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,分众传媒,-2.2887,False,False
电力设备,801736.SI,风电设备,20260602,4452.3088,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,金风科技,-0.9378,False,True
电力设备,801731.SI,电机Ⅱ,20260602,3370.5128,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,卧龙电驱,-0.7216,True,True
电力设备,801735.SI,光伏设备,20260602,17640.1958,启动识别对象,观察中,观察中，已有局部转强线索，但条件不完整。,阳光电源,-0.7471,True,True
电力设备,801737.SI,电池,20260602,40178.2809,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,宁德时代,3.2826,True,True
电力设备,801738.SI,电网设备,20260602,19351.7827,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,国电南瑞,-2.2998,False,True
电力设备,801733.SI,其他电源设备Ⅱ,20260602,7237.2992,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,上海电气,-2.561,False,False
电子,801084.SI,光学光电子,20260602,14371.9558,启动识别对象,观察中,观察中，已有局部转强线索，但条件不完整。,京东方A,2.0522,True,True
电子,801081.SI,半导体,20260602,99985.0536,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,中芯国际,0.0302,True,True
电子,801085.SI,消费电子,20260602,41275.8927,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,工业富联,8.4881,True,True
电子,801083.SI,元件,20260602,33539.6443,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,东山精密,10.0026,True,True
电子,801086.SI,电子化学品Ⅱ,20260602,6905.5644,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,鼎龙股份,2.4613,True,True
电子,801082.SI,其他电子Ⅱ,20260602,4889.0967,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,香农芯创,4.8118,True,True
计算机,801104.SI,软件开发,20260602,17644.309,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,同花顺,-1.1535,False,False
计算机,801103.SI,IT服务Ⅱ,20260602,14120.224,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,南网数字,-2.9422,False,
计算机,801101.SI,计算机设备,20260602,12590.5568,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,海康威视,2.2954,False,True
通信,801223.SI,通信服务,20260602,11069.9517,启动识别对象,未启动,未启动，板块和龙头均未形成有效启动信号。,中国移动,1.5369,True,False
通信,801102.SI,通信设备,20260602,46981.0273,趋势延续对象,趋势延续型偏强,趋势延续型偏强，不属于启动识别对象。,中际旭创,5.4699,True,True
